,Year,Team,Player
0,2019,1st,Luka Dončić
1,2019,1st,Trae Young
2,2019,1st,Deandre Ayton
3,2019,1st,Jaren Jackson
4,2019,1st,Marvin Bagley
5,2019,2nd,Shai Gilgeous-Alexander
6,2019,2nd,Collin Sexton
7,2019,2nd,Landry Shamet
8,2019,2nd,Mitchell Robinson
9,2019,2nd,Kevin Huerter
15,2018,1st,Donovan Mitchell
16,2018,1st,Ben Simmons
17,2018,1st,Jayson Tatum
18,2018,1st,Kyle Kuzma
19,2018,1st,Lauri Markkanen
20,2018,2nd,Dennis Smith
21,2018,2nd,Lonzo Ball
22,2018,2nd,John Collins
23,2018,2nd,Bogdan Bogdanović
24,2018,2nd,Josh Jackson
30,2017,1st,Malcolm Brogdon
31,2017,1st,Dario Šarić
32,2017,1st,Joel Embiid
33,2017,1st,Buddy Hield
34,2017,1st,Willy Hernangómez
35,2017,2nd,Jamal Murray
36,2017,2nd,Jaylen Brown
37,2017,2nd,Marquese Chriss
38,2017,2nd,Brandon Ingram
39,2017,2nd,Yogi Ferrell
45,2016,1st,Karl-Anthony Towns
46,2016,1st,Kristaps Porziņģis
47,2016,1st,Devin Booker
48,2016,1st,Nikola Jokić
49,2016,1st,Jahlil Okafor
50,2016,2nd,Justise Winslow
51,2016,2nd,D'Angelo Russell
52,2016,2nd,Emmanuel Mudiay
53,2016,2nd,Myles Turner
54,2016,2nd,Willie Cauley-Stein
60,2015,1st,Andrew Wiggins
61,2015,1st,Nikola Mirotić
62,2015,1st,Nerlens Noel
63,2015,1st,Elfrid Payton
64,2015,1st,Jordan Clarkson
65,2015,2nd,Marcus Smart
66,2015,2nd,Zach LaVine
67,2015,2nd,Bojan Bogdanović
68,2015,2nd,Jusuf Nurkić
69,2015,2nd,Langston Galloway
75,2014,1st,Michael Carter-Williams
76,2014,1st,Victor Oladipo
77,2014,1st,Trey Burke
78,2014,1st,Mason Plumlee
79,2014,1st,Tim Hardaway
80,2014,2nd,Kelly Olynyk
81,2014,2nd,Giannis Antetokounmpo
82,2014,2nd,Gorgui Dieng
83,2014,2nd,Cody Zeller
84,2014,2nd,Steven Adams
90,2013,1st,Harrison Barnes
91,2013,1st,Bradley Beal
92,2013,1st,Anthony Davis
93,2013,1st,Damian Lillard
94,2013,1st,Dion Waiters
95,2013,2nd,Andre Drummond
96,2013,2nd,Michael Kidd-Gilchrist
97,2013,2nd,Kyle Singler
98,2013,2nd,Jonas Valančiūnas
99,2013,2nd,Tyler Zeller
105,2012,1st,Kenneth Faried
106,2012,1st,Kyrie Irving
107,2012,1st,Ricky Rubio
108,2012,1st,Klay Thompson
109,2012,1st,"Brandon Knight, Kawhi Leonard (T)"
110,2012,2nd,MarShon Brooks
111,2012,2nd,Chandler Parsons
112,2012,2nd,Isaiah Thomas
113,2012,2nd,Tristan Thompson
114,2012,2nd,Derrick Williams
120,2011,1st,DeMarcus Cousins
121,2011,1st,Landry Fields
122,2011,1st,Blake Griffin
123,2011,1st,Gary Neal
124,2011,1st,John Wall
125,2011,2nd,Eric Bledsoe
126,2011,2nd,Derrick Favors
127,2011,2nd,Paul George
128,2011,2nd,Wesley Johnson
129,2011,2nd,Greg Monroe
135,2010,1st,Darren Collison
136,2010,1st,Stephen Curry
137,2010,1st,Tyreke Evans
138,2010,1st,Taj Gibson
139,2010,1st,Brandon Jennings
140,2010,2nd,DeJuan Blair
141,2010,2nd,Jonny Flynn
142,2010,2nd,James Harden
143,2010,2nd,Jonas Jerebko
144,2010,2nd,Marcus Thornton
150,2009,1st,Michael Beasley
151,2009,1st,Brook Lopez
152,2009,1st,O.J. Mayo
153,2009,1st,Derrick Rose
154,2009,1st,Russell Westbrook
155,2009,2nd,Mario Chalmers
156,2009,2nd,Marc Gasol
157,2009,2nd,Eric Gordon
158,2009,2nd,Kevin Love
159,2009,2nd,"D.J. Augustin, Rudy Fernández (T)"
165,2008,1st,Kevin Durant
166,2008,1st,Jeff Green
167,2008,1st,Al Horford
168,2008,1st,Luis Scola
169,2008,1st,Al Thornton
170,2008,2nd,Carl Landry
171,2008,2nd,Jamario Moon
172,2008,2nd,Juan Carlos Navarro
173,2008,2nd,Rodney Stuckey
174,2008,2nd,Thaddeus Young
180,2007,1st,Andrea Bargnani
181,2007,1st,Randy Foye
182,2007,1st,Rudy Gay
