,Year,Team,Player
0,2019,1st,Nikola Jokić
1,2019,1st,Giannis Antetokounmpo
2,2019,1st,Paul George
3,2019,1st,James Harden
4,2019,1st,Stephen Curry
5,2019,2nd,Joel Embiid
6,2019,2nd,Kevin Durant
7,2019,2nd,Kawhi Leonard
8,2019,2nd,Damian Lillard
9,2019,2nd,Kyrie Irving
10,2019,3rd,Rudy Gobert
11,2019,3rd,LeBron James
12,2019,3rd,Blake Griffin
13,2019,3rd,Kemba Walker
14,2019,3rd,Russell Westbrook
20,2018,1st,Anthony Davis
21,2018,1st,LeBron James
22,2018,1st,Kevin Durant
23,2018,1st,Damian Lillard
24,2018,1st,James Harden
25,2018,2nd,Joel Embiid
26,2018,2nd,Giannis Antetokounmpo
27,2018,2nd,LaMarcus Aldridge
28,2018,2nd,Russell Westbrook
29,2018,2nd,DeMar DeRozan
30,2018,3rd,Karl-Anthony Towns
31,2018,3rd,Jimmy Butler
32,2018,3rd,Paul George
33,2018,3rd,Stephen Curry
34,2018,3rd,Victor Oladipo
40,2017,1st,Anthony Davis
41,2017,1st,LeBron James
42,2017,1st,Kawhi Leonard
43,2017,1st,James Harden
44,2017,1st,Russell Westbrook
45,2017,2nd,Rudy Gobert
46,2017,2nd,Giannis Antetokounmpo
47,2017,2nd,Kevin Durant
48,2017,2nd,Stephen Curry
49,2017,2nd,Isaiah Thomas
50,2017,3rd,DeAndre Jordan
51,2017,3rd,Draymond Green
52,2017,3rd,Jimmy Butler
53,2017,3rd,John Wall
54,2017,3rd,DeMar DeRozan
60,2016,1st,DeAndre Jordan
61,2016,1st,LeBron James
62,2016,1st,Kawhi Leonard
63,2016,1st,Stephen Curry
64,2016,1st,Russell Westbrook
65,2016,2nd,DeMarcus Cousins
66,2016,2nd,Kevin Durant
67,2016,2nd,Draymond Green
68,2016,2nd,Chris Paul
69,2016,2nd,Damian Lillard
70,2016,3rd,Andre Drummond
71,2016,3rd,Paul George
72,2016,3rd,LaMarcus Aldridge
73,2016,3rd,Klay Thompson
74,2016,3rd,Kyle Lowry
80,2015,1st,Marc Gasol
81,2015,1st,LeBron James
82,2015,1st,Anthony Davis
83,2015,1st,Stephen Curry
84,2015,1st,James Harden
85,2015,2nd,DeMarcus Cousins
86,2015,2nd,Pau Gasol
87,2015,2nd,LaMarcus Aldridge
88,2015,2nd,Russell Westbrook
89,2015,2nd,Chris Paul
90,2015,3rd,DeAndre Jordan
91,2015,3rd,Blake Griffin
92,2015,3rd,Tim Duncan
93,2015,3rd,Klay Thompson
94,2015,3rd,Kyrie Irving
100,2014,1st,Joakim Noah
101,2014,1st,Kevin Durant
102,2014,1st,LeBron James
103,2014,1st,James Harden
104,2014,1st,Chris Paul
105,2014,2nd,Dwight Howard
106,2014,2nd,Blake Griffin
107,2014,2nd,Kevin Love
108,2014,2nd,Stephen Curry
109,2014,2nd,Tony Parker
110,2014,3rd,Al Jefferson
111,2014,3rd,Paul George
112,2014,3rd,LaMarcus Aldridge
113,2014,3rd,Goran Dragić
114,2014,3rd,Damian Lillard
120,2013,1st,Tim Duncan
121,2013,1st,Kevin Durant
122,2013,1st,LeBron James
123,2013,1st,Kobe Bryant
124,2013,1st,Chris Paul
125,2013,2nd,Marc Gasol
126,2013,2nd,Carmelo Anthony
127,2013,2nd,Blake Griffin
128,2013,2nd,Tony Parker
129,2013,2nd,Russell Westbrook
130,2013,3rd,Dwight Howard
131,2013,3rd,Paul George
132,2013,3rd,David Lee
133,2013,3rd,James Harden
134,2013,3rd,Dwyane Wade
140,2012,1st,Dwight Howard
141,2012,1st,Kevin Durant
142,2012,1st,LeBron James
143,2012,1st,Kobe Bryant
144,2012,1st,Chris Paul
145,2012,2nd,Andrew Bynum
146,2012,2nd,Blake Griffin
147,2012,2nd,Kevin Love
148,2012,2nd,Tony Parker
149,2012,2nd,Russell Westbrook
150,2012,3rd,Tyson Chandler
151,2012,3rd,Carmelo Anthony
152,2012,3rd,Dirk Nowitzki
153,2012,3rd,Rajon Rondo
154,2012,3rd,Dwyane Wade
160,2011,1st,Dwight Howard
161,2011,1st,Kevin Durant
162,2011,1st,LeBron James
163,2011,1st,Kobe Bryant
164,2011,1st,Derrick Rose
165,2011,2nd,Amar'e Stoudemire
166,2011,2nd,Pau Gasol
167,2011,2nd,Dirk Nowitzki
168,2011,2nd,Dwyane Wade
169,2011,2nd,Russell Westbrook
170,2011,3rd,Al Horford
171,2011,3rd,LaMarcus Aldridge
172,2011,3rd,Zach Randolph
173,2011,3rd,Manu Ginóbili
174,2011,3rd,Chris Paul
180,2010,1st,Dwight Howard
181,2010,1st,Kevin Durant
182,2010,1st,LeBron James
183,2010,1st,Kobe Bryant
184,2010,1st,Dwyane Wade
185,2010,2nd,Amar'e Stoudemire
186,2010,2nd,Carmelo Anthony
187,2010,2nd,Dirk Nowitzki
188,2010,2nd,Steve Nash
189,2010,2nd,Deron Williams
190,2010,3rd,Andrew Bogut
191,2010,3rd,Tim Duncan
192,2010,3rd,Pau Gasol
193,2010,3rd,Joe Johnson
194,2010,3rd,Brandon Roy
200,2009,1st,Dwight Howard
201,2009,1st,LeBron James
202,2009,1st,Dirk Nowitzki
203,2009,1st,Kobe Bryant
204,2009,1st,Dwyane Wade
205,2009,2nd,Yao Ming
206,2009,2nd,Tim Duncan
207,2009,2nd,Paul Pierce
208,2009,2nd,Chris Paul
209,2009,2nd,Brandon Roy
210,2009,3rd,Shaquille O'Neal
211,2009,3rd,Carmelo Anthony
212,2009,3rd,Pau Gasol
213,2009,3rd,Chauncey Billups
214,2009,3rd,Tony Parker
220,2008,1st,Dwight Howard
221,2008,1st,Kevin Garnett
222,2008,1st,LeBron James
223,2008,1st,Kobe Bryant
224,2008,1st,Chris Paul
225,2008,2nd,Amar'e Stoudemire
226,2008,2nd,Tim Duncan
227,2008,2nd,Dirk Nowitzki
228,2008,2nd,Steve Nash
229,2008,2nd,Deron Williams
230,2008,3rd,Yao Ming
231,2008,3rd,Carlos Boozer
232,2008,3rd,Paul Pierce
233,2008,3rd,Manu Ginóbili
234,2008,3rd,Tracy McGrady
240,2007,1st,Amar'e Stoudemire
241,2007,1st,Tim Duncan
242,2007,1st,Dirk Nowitzki
243,2007,1st,Kobe Bryant
244,2007,1st,Steve Nash
245,2007,2nd,Yao Ming
246,2007,2nd,Chris Bosh
247,2007,2nd,LeBron James
248,2007,2nd,Gilbert Arenas
249,2007,2nd,Tracy McGrady
250,2007,3rd,Dwight Howard
251,2007,3rd,Carmelo Anthony
252,2007,3rd,Kevin Garnett
253,2007,3rd,Chauncey Billups
254,2007,3rd,Dwyane Wade
260,2006,1st,Shaquille O'Neal
261,2006,1st,LeBron James
262,2006,1st,Dirk Nowitzki
263,2006,1st,Kobe Bryant
264,2006,1st,Steve Nash
265,2006,2nd,Ben Wallace
266,2006,2nd,Elton Brand
267,2006,2nd,Tim Duncan
268,2006,2nd,Chauncey Billups
269,2006,2nd,Dwyane Wade
270,2006,3rd,Yao Ming
271,2006,3rd,Carmelo Anthony
272,2006,3rd,Shawn Marion
273,2006,3rd,Gilbert Arenas
274,2006,3rd,Allen Iverson
280,2005,1st,Shaquille O'Neal
281,2005,1st,Tim Duncan
282,2005,1st,Dirk Nowitzki
283,2005,1st,Allen Iverson
284,2005,1st,Steve Nash
285,2005,2nd,Amar'e Stoudemire
286,2005,2nd,Kevin Garnett
287,2005,2nd,LeBron James
288,2005,2nd,Ray Allen
289,2005,2nd,Dwyane Wade
290,2005,3rd,Ben Wallace
291,2005,3rd,Shawn Marion
292,2005,3rd,Tracy McGrady
293,2005,3rd,Gilbert Arenas
294,2005,3rd,Kobe Bryant
300,2004,1st,Shaquille O'Neal
301,2004,1st,Tim Duncan
302,2004,1st,Kevin Garnett
303,2004,1st,Kobe Bryant
304,2004,1st,Jason Kidd
305,2004,2nd,Ben Wallace
306,2004,2nd,Jermaine O'Neal
307,2004,2nd,Peja Stojaković
308,2004,2nd,Sam Cassell
