,Year,Player,MVP,Rookie of Year,DPOY,6th man of Year,Most Improved,Finals MVP
108,1998,Alan Henderson,,,,,1.0,
21,1998,Michael Jordan,1.0,,,,,1.0
87,1998,Danny Manning,,,,1.0,,
65,1998,Dikembe Mutombo,,,1.0,,,
64,1999,Alonzo Mourning,,,1.0,,,
20,1999,Karl Malone,1.0,,,,,
86,1999,Darrell Armstrong,,,,1.0,1.0,
125,1999,Tim Duncan,,,,,,1.0
43,1999,Vince Carter,,1.0,,,,
85,2000,Rodney Rogers,,,,1.0,,
63,2000,Alonzo Mourning,,,1.0,,,
42,2000,Elton Brand (Tie),,1.0,,,,
41,2000,Steve Francis (Tie),,1.0,,,,
107,2000,Jalen Rose,,,,,1.0,
19,2000,Shaquille O'Neal,1.0,,,,,1.0
62,2001,Dikembe Mutombo,,,1.0,,,
18,2001,Allen Iverson,1.0,,,,,
84,2001,Aaron McKie,,,,1.0,,
40,2001,Mike Miller,,1.0,,,,
106,2001,Tracy McGrady,,,,,1.0,
124,2001,Shaquille O'Neal,,,,,,1.0
17,2002,Tim Duncan,1.0,,,,,
61,2002,Ben Wallace,,,1.0,,,
39,2002,Pau Gasol,,1.0,,,,
83,2002,Corliss Williamson,,,,1.0,,
105,2002,Jermaine O'Neal,,,,,1.0,
123,2002,Shaquille O'Neal,,,,,,1.0
104,2003,Gilbert Arenas,,,,,1.0,
82,2003,Bobby Jackson,,,,1.0,,
16,2003,Tim Duncan,1.0,,,,,1.0
60,2003,Ben Wallace,,,1.0,,,
38,2003,Amar'e Stoudemire,,1.0,,,,
37,2004,LeBron James,,1.0,,,,
15,2004,Kevin Garnett,1.0,,,,,
81,2004,Antawn Jamison,,,,1.0,,
122,2004,Chauncey Billups,,,,,,1.0
103,2004,Zach Randolph,,,,,1.0,
59,2004,Metta World Peace,,,1.0,,,
14,2005,Steve Nash,1.0,,,,,
102,2005,Bobby Simmons,,,,,1.0,
36,2005,Emeka Okafor,,1.0,,,,
58,2005,Ben Wallace,,,1.0,,,
121,2005,Tim Duncan,,,,,,1.0
80,2005,Ben Gordon,,,,1.0,,
79,2006,Mike Miller,,,,1.0,,
101,2006,Boris Diaw,,,,,1.0,
120,2006,Dwyane Wade,,,,,,1.0
35,2006,Chris Paul,,1.0,,,,
13,2006,Steve Nash,1.0,,,,,
57,2006,Ben Wallace,,,1.0,,,
12,2007,Dirk Nowitzki,1.0,,,,,
34,2007,Brandon Roy,,1.0,,,,
119,2007,Tony Parker,,,,,,1.0
56,2007,Marcus Camby,,,1.0,,,
78,2007,Leandro Barbosa,,,,1.0,,
100,2007,Monta Ellis,,,,,1.0,
55,2008,Kevin Garnett,,,1.0,,,
33,2008,Kevin Durant,,1.0,,,,
77,2008,Manu Ginóbili,,,,1.0,,
11,2008,Kobe Bryant,1.0,,,,,
99,2008,Hedo Türkoğlu,,,,,1.0,
118,2008,Paul Pierce,,,,,,1.0
32,2009,Derrick Rose,,1.0,,,,
117,2009,Kobe Bryant,,,,,,1.0
10,2009,LeBron James,1.0,,,,,
54,2009,Dwight Howard,,,1.0,,,
76,2009,Jason Terry,,,,1.0,,
98,2009,Danny Granger,,,,,1.0,
9,2010,LeBron James,1.0,,,,,
53,2010,Dwight Howard,,,1.0,,,
31,2010,Tyreke Evans,,1.0,,,,
97,2010,Aaron Brooks,,,,,1.0,
116,2010,Kobe Bryant,,,,,,1.0
75,2010,Jamal Crawford,,,,1.0,,
74,2011,Lamar Odom,,,,1.0,,
115,2011,Dirk Nowitzki,,,,,,1.0
30,2011,Blake Griffin,,1.0,,,,
96,2011,Kevin Love,,,,,1.0,
52,2011,Dwight Howard,,,1.0,,,
8,2011,Derrick Rose,1.0,,,,,
73,2012,James Harden,,,,1.0,,
95,2012,Ryan Anderson,,,,,1.0,
7,2012,LeBron James,1.0,,,,,1.0
51,2012,Tyson Chandler,,,1.0,,,
29,2012,Kyrie Irving,,1.0,,,,
94,2013,Paul George,,,,,1.0,
72,2013,J.R. Smith,,,,1.0,,
50,2013,Marc Gasol,,,1.0,,,
28,2013,Damian Lillard,,1.0,,,,
6,2013,LeBron James,1.0,,,,,1.0
49,2014,Joakim Noah,,,1.0,,,
