,Year,Player,MVP,Rookie of Year,DPOY,6th man of Year,Most Improved,Finals MVP
141,1953,Monk Meineke,,1.0,,,,
140,1954,Ray Felix,,1.0,,,,
139,1955,Bob Pettit,,1.0,,,,
63,1956,Bob Pettit,1.0,,,,,
138,1956,Maurice Stokes,,1.0,,,,
62,1957,Bob Cousy,1.0,,,,,
137,1957,Tom Heinsohn,,1.0,,,,
61,1958,Bill Russell,1.0,,,,,
136,1958,Woody Sauldsberry,,1.0,,,,
135,1959,Elgin Baylor,,1.0,,,,
60,1959,Bob Pettit,1.0,,,,,
59,1960,Wilt Chamberlain,1.0,1.0,,,,
58,1961,Bill Russell,1.0,,,,,
134,1961,Oscar Robertson,,1.0,,,,
57,1962,Bill Russell,1.0,,,,,
133,1962,Walt Bellamy,,1.0,,,,
56,1963,Bill Russell,1.0,,,,,
132,1963,Terry Dischinger,,1.0,,,,
55,1964,Oscar Robertson,1.0,,,,,
131,1964,Jerry Lucas,,1.0,,,,
54,1965,Bill Russell,1.0,,,,,
130,1965,Willis Reed,,1.0,,,,
129,1966,Rick Barry,,1.0,,,,
53,1966,Wilt Chamberlain,1.0,,,,,
128,1967,Dave Bing,,1.0,,,,
52,1967,Wilt Chamberlain,1.0,,,,,
127,1968,Earl Monroe,,1.0,,,,
149,1968,Mel Daniels,,1.0,,,,
51,1968,Wilt Chamberlain,1.0,,,,,
73,1968,Connie Hawkins,1.0,,,,,
50,1969,Wes Unseld,1.0,1.0,,,,
289,1969,Jerry West,,,,,,1.0
148,1969,Warren Jabali,,1.0,,,,
72,1969,Mel Daniels,1.0,,,,,
71,1970,Spencer Haywood,1.0,1.0,,,,
49,1970,Willis Reed,1.0,,,,,1.0
126,1970,Kareem Abdul-Jabbar,,1.0,,,,
70,1971,Mel Daniels,1.0,,,,,
48,1971,Kareem Abdul-Jabbar,1.0,,,,,1.0
147,1971,Charlie Scott ,,1.0,,,,
124,1971,Dave Cowens ,,1.0,,,,
125,1971,Geoff Petrie ,,1.0,,,,
146,1971,Dan Issel ,,1.0,,,,
47,1972,Kareem Abdul-Jabbar,1.0,,,,,
123,1972,Sidney Wicks,,1.0,,,,
69,1972,Artis Gilmore,1.0,1.0,,,,
288,1972,Wilt Chamberlain,,,,,,1.0
122,1973,Bob McAdoo,,1.0,,,,
46,1973,Dave Cowens,1.0,,,,,
68,1973,Billy Cunningham,1.0,,,,,
