,Pick,Player,College,Year
0,1,Larry Johnson,UNLV,1991
1,2,Kenny Anderson,Georgia Tech,1991
2,3,Billy Owens,Syracuse,1991
3,4,Dikembe Mutombo,Georgetown,1991
4,5,Steve Smith,Michigan State,1991
5,6,Doug Smith,Missouri,1991
6,7,Luc Longley,New Mexico,1991
7,8,Mark Macon,Temple,1991
8,9,Stacey Augmon,UNLV,1991
9,10,Bison Dele,Arizona,1991
10,11,Terrell Brandon,Oregon,1991
11,12,Greg Anthony,UNLV,1991
12,13,Dale Davis,Clemson,1991
13,14,Rich King,Nebraska,1991
14,15,Anthony Avent,Seton Hall,1991
15,16,Chris Gatling,Old Dominion,1991
16,17,Victor Alexander,Iowa State,1991
17,18,Kevin Brooks,LA-Lafayette,1991
18,19,LaBradford Smith,Louisville,1991
19,20,John Turner,Phillips University,1991
20,21,Eric Murdock,Providence,1991
21,22,LeRon Ellis,Syracuse,1991
22,23,Stanley Roberts,LSU,1991
23,24,Rick Fox,UNC,1991
24,25,Shaun Vandiver,Colorado,1991
25,26,Mark Randall,Kansas,1991
26,27,Pete Chilcutt,UNC,1991
27,28,Kevin Lynch,Minnesota,1991
28,29,George Ackles,UNLV,1991
29,30,Rodney Monroe,NC State,1991
30,31,Randy Brown,New Mexico State,1991
31,32,Chad Gallagher,Creighton,1991
32,33,Donald Hodge,Temple,1991
33,34,Myron Brown,Slippery Rock University of Pennsylvania,1991
34,35,Mike Iuzzolino,Saint Francis University,1991
35,36,Chris Corchiani,NC State,1991
36,37,Elliot Perry,Memphis,1991
37,38,Joe Wylie,Miami (FL),1991
38,39,Jimmy Oliver,Purdue,1991
39,40,Doug Overton,La Salle,1991
40,41,Sean Green,Iona College,1991
41,42,Steve Hood,James Madison University,1991
42,43,Lamont Strothers,Christopher Newport University,1991
43,44,Alvaro Teheran,Houston,1991
44,45,Bobby Phills,Southern University and A&M College,1991
45,46,Richard Dumas,Oklahoma State,1991
46,47,Keith Hughes,Rutgers University,1991
47,48,Isaac Austin,Arizona State,1991
48,49,Greg Sutton,Oral Roberts,1991
49,50,Joey Wright,Texas,1991
50,51,Žan Tabak,,1991
51,52,Anthony Jones,Oral Roberts,1991
52,53,Von McDade,UW-Milwaukee,1991
53,54,Marcus Kennedy,Eastern Michigan,1991
0,1,Shaquille O'Neal,LSU,1992
1,2,Alonzo Mourning,Georgetown,1992
2,3,Christian Laettner,Duke,1992
3,4,Jim Jackson,Ohio State,1992
4,5,LaPhonso Ellis,Notre Dame,1992
5,6,Tom Gugliotta,NC State,1992
6,7,Walt Williams,Maryland,1992
7,8,Todd Day,Arkansas,1992
8,9,Clarence Weatherspoon,University of Southern Mississippi,1992
9,10,Adam Keefe,Stanford,1992
10,11,Robert Horry,Alabama,1992
11,12,Harold Miner,USC,1992
12,13,Bryant Stith,Virginia,1992
