,Player,Actual_Salary,Adjusted_Salary,Year
0,LeBron James,30963450,32906550,2016
1,Al Horford,26540100,28205614,2016
2,Kevin Durant,26540100,28205614,2016
3,James Harden,26540100,28205614,2016
4,Mike Conley,26540100,28205614,2016
5,Russell Westbrook,26540100,28205614,2016
6,DeMar DeRozan,26540100,28205614,2016
7,Dirk Nowitzki,25000000,26568866,2016
8,Carmelo Anthony,24559380,26100595,2016
9,Damian Lillard,24328425,25855146,2016
10,Chris Bosh,23741060,25230921,2016
11,Dwight Howard,23500000,24974734,2016
12,Dwyane Wade,23200000,24655907,2016
13,Chris Paul,22868827,24303952,2016
14,Harrison Barnes,22116750,23504678,2016
15,Andre Drummond,22116750,23504678,2016
16,Chandler Parsons,22116750,23504678,2016
17,Hassan Whiteside,22116750,23504678,2016
18,Anthony Davis,22116750,23504678,2016
19,Bradley Beal,22116750,23504678,2016
20,Derrick Rose,21323252,22661385,2016
21,Brook Lopez,21165675,22493919,2016
22,Kevin Love,21165675,22493919,2016
23,DeAndre Jordan,21165675,22493919,2016
24,Marc Gasol,21165675,22493919,2016
25,Nicolas Batum,20869566,22179228,2016
26,LaMarcus Aldridge,20575005,21866182,2016
27,Blake Griffin,20093064,21353997,2016
28,Paul Millsap,20072033,21331646,2016
29,Ryan Anderson,18735364,19911095,2016
30,Allen Crabbe,18500000,19660961,2016
31,Paul George,18100000,19235859,2016
32,Luol Deng,18000000,19129583,2016
33,Kyrie Irving,17638063,18744933,2016
34,Kawhi Leonard,17638063,18744933,2016
35,Jimmy Butler,17552209,18653691,2016
36,Tobias Harris,17200000,18279379,2016
37,Wesley Matthews,17145838,18221819,2016
38,Greg Monroe,17145838,18221819,2016
39,Enes Kanter,17145838,18221819,2016
40,Joakim Noah,17000000,18066829,2016
41,Evan Fournier,17000000,18066829,2016
42,Bismack Biyombo,17000000,18066829,2016
43,Klay Thompson,16663575,17709291,2016
44,Evan Turner,16393443,17422207,2016
45,Gordon Hayward,16073140,17081804,2016
46,Timofey Mozgov,16000000,17004074,2016
47,Ian Mahinmi,16000000,17004074,2016
48,Goran Dragic,15891725,16889004,2016
49,DeMarcus Cousins,15756438,16745227,2016
50,John Wall,15756438,16745227,2016
51,Kent Bazemore,15730337,16717488,2016
52,Pau Gasol,15500000,16472697,2016
