,Player,Salary,Year
0,Stephen Curry,40231758,2019
1,Russell Westbrook,38506482,2019
2,Chris Paul,38506482,2019
3,James Harden,38199000,2019
4,John Wall,38199000,2019
5,LeBron James,37436858,2019
6,Kevin Durant,37199000,2019
7,Blake Griffin,34449964,2019
8,Kyle Lowry,33296296,2019
9,Paul George,33005556,2019
10,Klay Thompson,32742000,2019
11,Kemba Walker,32742000,2019
12,Kawhi Leonard,32742000,2019
13,Jimmy Butler,32742000,2019
14,Tobias Harris,32742000,2019
15,Gordon Hayward,32700690,2019
16,Mike Conley,32511623,2019
17,Kyrie Irving,31742000,2019
18,Khris Middleton,30603448,2019
19,Paul Millsap,30350000,2019
20,Damian Lillard,29802321,2019
21,Kevin Love,28942830,2019
22,Al Horford,28000000,2019
23,Nikola Vucevic,28000000,2019
24,DeMar DeRozan,27739975,2019
25,CJ McCollum,27556959,2019
26,Nikola Jokic,27504630,2019
27,Andrew Wiggins,27504630,2019
28,Joel Embiid,27504630,2019
29,Kristaps Porzingis,27285000,2019
30,Karl-Anthony Towns,27285000,2019
31,Devin Booker,27285000,2019
32,D'Angelo Russell,27285000,2019
33,Otto Porter,27250576,2019
34,Anthony Davis,27093019,2019
35,Andre Drummond,27093018,2019
36,Bradley Beal,27093018,2019
37,Hassan Whiteside,27093018,2019
38,Jrue Holiday,26131111,2019
39,LaMarcus Aldridge,26000000,2019
40,Giannis Antetokounmpo,25842697,2019
41,Steven Adams,25842697,2019
42,Marc Gasol,25595700,2019
43,Nicolas Batum,25565217,2019
44,Rudy Gobert,25258427,2019
45,Chandler Parsons,25102512,2019
46,Harrison Barnes,24147727,2019
47,Serge Ibaka,23271604,2019
48,Danilo Gallinari,22615559,2019
49,Victor Oladipo,21000000,2019
50,Tim Hardaway Jr,20025127,2019
51,Malcolm Brogdon,20000000,2019
52,Terry Rozier,19894737,2019
53,Aaron Gordon,19863636,2019
54,Zach LaVine,19500000,2019
55,Kent Bazemore,19269663,2019
56,Tyler Johnson,19245370,2019
57,Goran Dragic,19217900,2019
58,Jeff Teague,19000000,2019
59,Evan Turner,18606556,2019
60,Draymond Green,18539130,2019
61,Tristan Thompson,18539130,2019
62,Julius Randle,18000000,2019
63,Myles Turner,18000000,2019
64,Gary Harris,17839286,2019
65,Allen Crabbe,17818456,2019
66,Reggie Jackson,17799677,2019
67,Derrick Favors,17650000,2019
68,Andre Iguodala,17185185,2019
69,Evan Fournier,17150000,2019
70,Bojan Bogdanovic,17000000,2019
71,Bismack Biyombo,17000000,2019
72,Clint Capela,16896552,2019
73,Gorgui Dieng,16229213,2019
74,Ricky Rubio,16200000,2019
75,Jonas Valanciunas,16000000,2019
